comparison,segment_type,bucket,seq_value,base_value,absolute_gain
markov - cooccurrence,prefix,prefix_1,0.21656575720416923,0.20039469650521152,0.016171060698957712
markov - cooccurrence,prefix,prefix_2,0.10907928388746803,0.11432225063938618,-0.005242966751918154
markov - cooccurrence,prefix,prefix_3_5,0.11000263524451305,0.12600233407371156,-0.015999698829198508
markov - cooccurrence,prefix,prefix_6_plus,0.06963127663516769,0.060144524735964426,0.009486751899203262
markov - cooccurrence,session_length,session_long_7_plus,0.09150174621653084,0.08815747698169119,0.0033442692348396585
markov - cooccurrence,session_length,session_medium_4_6,0.14188233074431622,0.1442093015942895,-0.00232697084997327
markov - cooccurrence,session_length,session_short_2_3,0.19595645412130638,0.18662519440124417,0.009331259720062213
weighted_markov - cooccurrence,prefix,prefix_1,0.21656575720416923,0.20039469650521152,0.016171060698957712
weighted_markov - cooccurrence,prefix,prefix_2,0.13286445012787723,0.11432225063938618,0.01854219948849105
weighted_markov - cooccurrence,prefix,prefix_3_5,0.14715958287843994,0.12600233407371156,0.021157248804728385
weighted_markov - cooccurrence,prefix,prefix_6_plus,0.08934593292569946,0.060144524735964426,0.02920140818973504
weighted_markov - cooccurrence,session_length,session_long_7_plus,0.11287966980632871,0.08815747698169119,0.02472219282463753
weighted_markov - cooccurrence,session_length,session_medium_4_6,0.16694443570956888,0.1442093015942895,0.022735134115279387
weighted_markov - cooccurrence,session_length,session_short_2_3,0.20133987319057303,0.18662519440124417,0.014714678789328861
session_knn_sequence - session_knn_unordered,prefix,prefix_1,0.2378525444512569,0.253525444512569,-0.015672900061312084
session_knn_sequence - session_knn_unordered,prefix,prefix_2,0.1403239556692242,0.14744245524296676,-0.007118499573742554
session_knn_sequence - session_knn_unordered,prefix,prefix_3_5,0.15307005985769678,0.15329593795881488,-0.0002258781011180988
session_knn_sequence - session_knn_unordered,prefix,prefix_6_plus,0.08834537706133037,0.06640726329442283,0.021938113766907547
session_knn_sequence - session_knn_unordered,session_length,session_long_7_plus,0.11677426182664832,0.10477299185098952,0.012001269975658799
session_knn_sequence - session_knn_unordered,session_length,session_medium_4_6,0.175025942580422,0.1832017861073551,-0.008175843526933096
session_knn_sequence - session_knn_unordered,session_length,session_short_2_3,0.2207799976073693,0.23485664154404434,-0.014076643936675043
